id,name,category_id,supplier_id
1,4130 OD-10 T-3 x 1000,10,2
2,4130 OD-15 T-2 x 1000,10,2
3,4130 OD-15 T-3 x 1000,10,2
4,4130 OD-25 T-2 x 1000,10,2
5,4130 OD-25 T-3 x 1000,10,2
6,4130 OD-45 T-2 x 1000,10,2
7,Aluminium Sheet 2mm,9,2
8,Aluminium Sheet 3mm,9,2
9,Aluminium Sheet 4mm,9,2
37,Mild Steel Plate 10mm,13,2
38,Mild Steel Plate 5mm,13,2
68,Stainless steel Sheet 2mm,9,2
69,Stainless steel Sheet 3mm,9,2
39,PET part 1,2,3
40,PET part 2,2,3
41,PET part 3,2,3
42,PET part 4,2,3
43,PET part 5,2,3
44,PET part 6,2,3
45,PET part 7,2,3
46,PET part 8,2,3
47,PET part 9,2,3
48,PVC part 1,1,3
49,PVC part 2,1,3
50,PVC part 3,1,3
51,PVC part 4,1,3
52,PVC part 5,1,3
53,PVC part 6,1,3
54,PVC part 7,1,3
55,PVC part 8,1,3
56,PVC part 9,1,3
25,Flat washer 3/8,6,4
26,Hex head bolt 3/8 x 10,5,4
27,Hex head bolt 3/8 x 2,5,4
28,Hex head bolt 3/8 x 3,5,4
29,Hex head bolt 3/8 x 4,5,4
30,Hex head bolt 3/8 x 5,5,4
31,Hex head bolt 3/8 x 6,5,4
32,Hex head bolt 3/8 x 7,5,4
33,Hex head bolt 3/8 x 8,5,4
34,Hex head bolt 3/8 x 9,5,4
57,Rubber washer 3/4,6,4
58,Socket head bolt 3/4 x 1,5,4
59,Socket head bolt 3/4 x 10,5,4
60,Socket head bolt 3/4 x 2,5,4
61,Socket head bolt 3/4 x 3,5,4
62,Socket head bolt 3/4 x 4,5,4
63,Socket head bolt 3/4 x 5,5,4
64,Socket head bolt 3/4 x 6,5,4
65,Socket head bolt 3/4 x 7,5,4
66,Socket head bolt 3/4 x 8,5,4
67,Socket head bolt 3/4 x 9,5,4
19,Cap Nut 1/2,7,5
35,Hex Nut 3/8,7,5
36,Lock Nut 3/4,7,5
14,brass bushing 1,3,6
15,brass bushing 2,3,6
16,brass bushing 3,3,6
17,brass bushing 4,4,6
18,brass bushing 5,4,6
20,Copper bushing 1,3,6
21,Copper bushing 2,3,6
22,Copper bushing 3,3,6
23,Copper bushing 4,4,6
24,Copper bushing 5,4,6
10,Bolt plate config 1,12,
11,Bolt plate config 2,12,
12,Bolt plate config 3,12,
13,Bolt plate config 4,12,
70,Truss config 1,11,
71,Truss config 2,11,
72,Truss config 3,11,
73,Truss config 4,11,
74,Truss config 5,11,
